record_id,source,line_number,stratum,configuration_fingerprint,instance,solver_seed,actual_status,actual_runtime,actual_par10,predicted_median_runtime,predicted_status,predicted_median_par10,absolute_error,absolute_log10_error
ae4ad8ee26592ea7f4ac,ROAR7,6169,solved_le_1s,0c4d787f4e8da17c0a7c36d8bc7a980e5d44e6e1fbe214c56b8f19682abaf05f,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_16_1_1_0_0_nested.cnf,12981536,UNSAT,0.332348,0.332348,0.38833001255989075,TRUE,0.38833001255989075,0.05598201255989077,0.06760788719763305
fbd772860ab2c2aa1dde,ROAR5,7420,solved_le_1s,e5cae63bb10c8bd48e2d29d4b642461a72a995c0e26e6794e214c95df01a70f8,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_34_0_0_1_1_nested.cnf,11730456,UNSAT,0.141031,0.141031,0.14103099703788757,TRUE,0.14103099703788757,2.962112416460272e-09,9.12160513788507e-09
1c0666e44dc1d1476222,ROAR10,6027,solved_le_1s,44537d2d77d0afe774fda89890a38256476d42ab3214f4c690221d9929177f08,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_40_0_1_1_1_pairwise.cnf,286414,UNSAT,0.556639,0.556639,0.5543259978294373,TRUE,0.5543259978294373,0.002313002170562739,0.0018083837612941633
4cfa60108ec0657208cc,ROAR9,6494,solved_le_1s,0f955c9f074ca7486936fc2c8d030a42216a4881bcfa6aa050dd411a7d67be13,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_38_1_1_1_1_nested.cnf,9880276,UNSAT,0.1799,0.1799,0.17990000545978546,TRUE,0.17990000545978546,5.459785457073707e-09,1.3180403990453726e-08
baa1908c4c575dc5eec6,SMAC6,4758,solved_le_1s,706699ebe28626ce7e21a8daff42d52a3cfbdf77a4437803e35d1145fb0a0a26,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_13_1_1_0_0_2product.cnf,658146,UNSAT,0.369778,0.369778,0.4219819903373718,TRUE,0.4219819903373718,0.05220399033737183,0.057352847039286614
487517e4dee42321e55e,ROAR3,2190,solved_le_1s,cbf0a9f267219ea763e1ea227096c1c9e57c3bb0de0987776cc4f74ce708dd3f,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_33_0_0_1_1_commander.cnf,13230245,UNSAT,0.120913,0.120913,0.1200070008635521,TRUE,0.1200070008635521,0.0009059991364479131,0.003266414403031881
1362377ac55e353d71f5,ROAR8,7027,solved_le_1s,d534f4f8149da6e6fa3a7dfe4de8160a5793e4af30f6fba5e17aaa605b3fe6de,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_31_0_1_1_1_bimander.cnf,8695984,UNSAT,0.101012,0.101012,0.10101199895143509,TRUE,0.10101199895143509,1.0485649154512444e-09,4.508236228772944e-09
27d7b7db8af9893c1ba4,ROAR9,5675,solved_le_1s,4d20ff235cc0ad240ec04922095e02c539f3c45d05f3f0e2d2896418b85b689e,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_42_1_1_1_1_2product.cnf,13534239,UNSAT,0.082584,0.082584,0.08501000702381134,TRUE,0.08501000702381134,0.0024260070238113357,0.01257413772781879
9b9cce1caca19730285a,ROAR1,5180,solved_le_1s,ff7f465c44611a027e8fd3144fa7a94da7085ee428f69f56af93fafef983cca4,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_16_1_1_0_0_nested.cnf,1861738,UNSAT,0.151311,0.151311,0.15913598239421844,TRUE,0.15913598239421844,0.007824982394218444,0.021897888013791444
a746b18e58d3f6989b43,ParamILS2,1419,solved_le_1s,67c81ed6f9e6fcd15d288f4d5605dfb32c1230bc06167657db6328f3f08b92d7,instances/sat/data/QUEENS-CSSC14/instances/Sat_Data/nqueen/nqueen_39_1_1_1_1_2product.cnf,1734020664,UNSAT,0.068535,0.068535,0.06912700831890106,TRUE,0.06912700831890106,0.0005920083189010633,0.00373534476587678
